answerKey,id,A,B,C,D,stem,Grade,subject,category
B,MCAS_2005_8_8,The horse has been a carnivore.,The horse has changed over time.,The horse has many common ancestors.,The horse has lived in the same ecosystem.,The diagram below represents part of the horse fossil record from three time periods. It includes illustrations of the hooves and teeth of Horse's from each time period. {img:images/States2017/Mass/Mass_8thGr_2005_2.png} Which of the following statements is best supported by the horse fossil record?,8,science,Dev
C,MCAS_2005_9_12-v1,{img:images/States2017/Mass/Mass_9thGr_physics_2005_13.png},{img:images/States2017/Mass/Mass_9thGr_physics_2005_14.png},{img:images/States2017/Mass/Mass_9thGr_physics_2005_15.png},{img:images/States2017/Mass/Mass_9thGr_physics_2005_16.png},A hot air balloon exerts a force of 1200 N while lifting a load of 800 N. Which free-body force diagram depicts the forces involved?,9,physics,Dev
A,MCAS_2006_8_17,electricity,temperature,motion on clothes,steam from the plate,"The picture below shows an iron. {img:images/States2017/Mass/Mass_8thGr_2006_13.png} When considering an iron as an example of a system, what is the input?",8,science,Dev
B,MCAS_2006_8_3,70.5 mL,73.0 mL,76.7 mL,87.0 mL,"The drawing below shows part of a graduated cylinder containing liquid. {img:images/States2017/Mass/Mass_8thGr_2006_1.png} Based on the sensitivity of the graduated cylinder, what is the volume of the liquid?",8,science,Dev
A,MCAS_2006_8_33,They are made of cells.,They produce their own food.,They decompose other organisms.,They are disease-causing organisms.,"The following diagram shows a caterpillar, mold, and a fern. {img:images/States2017/Mass/Mass_8thGr_2006_32.png} What do these organisms have in common?",8,science,Dev
A,MCAS_2006_8_6,2 m/s,6 m/s,8 m/s,72 m/s,The graph below relates distance to time for a rolling ball. {img:images/States2017/Mass/Mass_8thGr_2006_3.png} What is the average speed of the ball?,8,science,Dev
A,MCAS_2006_9_1-v1,The car is accelerating.,The car is stopping and starting.,The car is traveling at a constant velocity.,The car is moving through an obstacle course.,"The distance vs. time graph below shows data collected as a remote-controlled car moved across a level parking lot. {img:images/States2017/Mass/Mass_9thGr_physics_2006_1.png} According to the graph, which of the following conclusions about the car's motion is supported?",9,physics,Dev
A,MCAS_2006_9_20-v1,active transport,diffusion,osmosis,passive filtration,The diagram below illustrates how plant root cells take in mineral ions from the surrounding soil. {img:images/States2017/Mass/Mass_9thGr_2006_15.png} Which of the following processes is illustrated?,9,biology,Dev
B,MCAS_2006_9_37,dragonfly larvae,Elodea plants,frog eggs,Paramecium species,A freshwater food web is shown below. {img:images/States2017/Mass/Mass_9thGr_2006_25.png} The X in this food web most likely represents which of the following?,9,biology,Dev
C,MCAS_2009_8_10,the mass of each molecule,the length of each molecule,the types of atoms in each molecule,the number of atoms in each molecule,The table below shows the number of each kind of atom that makes up one molecule of the compounds sucrose and ethanol. {img:images/States2017/Mass/Mass_8thGr_2009_2.png} Which of the following is the same for both compounds?,8,science,Dev
C,MCAS_2009_8_15,absorbing nutrients from food,protecting the body from infection,exchanging gases with the environment,responding to stimuli in the environment,The diagram below shows a major system of the human body. {img:images/States2017/Mass/Mass_8thGr_2009_8.png} Which of the following best describes the function of this system?,8,science,Dev
A,MCAS_2016_8_1,location 1,location 2,location 3,location 4,The diagram below shows the path of a ball bouncing on the ground. Four locations in the path are identified with numbers. {img:images/States2017/Mass/Mass_8thGr_2016_1.png} At which location does the ball have the greatest amount of kinetic energy?,8,science,Dev
C,MCAS_2016_8_4,City Y receives less rain than city Z.,City Y has colder winters than city Z.,City Y has cooler summers than city Z.,City Y receives more sunlight than city Z.,"The map below shows the locations of two cities. City Y is near the coast, and city Z is near the middle of a continent. The cities have the same elevation. {img:images/States2017/Mass/Mass_8thGr_2016_2.png} Based on the map, which of the following statements describes how the climates of the two cities are most likely different?",8,science,Dev
A,MEA_2010_8_13-v1,{img:images/States2017/ME/ME_8thGr_2010_7.png},{img:images/States2017/ME/ME_8thGr_2010_8.png},{img:images/States2017/ME/ME_8thGr_2010_9.png},{img:images/States2017/ME/ME_8thGr_2010_10.png},Each circle shown below represents a different atom. {img:images/States2017/ME/ME_8thGr_2010_6.png} Which diagram illustrates that matter is always conserved during a chemical reaction?,8,science,Dev
B,MEA_2010_8_8-v1,calcium and chlorine,sodium and potassium,potassium and aluminum,aluminum and magnesium,The table below shows five elements and the way they react with chlorine (Cl). {img:images/States2017/ME/ME_8thGr_2010_4.png} Which two elements are most likely from the same family or group in the periodic table?,8,science,Dev
B,MEA_2014_8_19,"Driven by the Sun, the water cycle adds new water as precipitation.","Driven by the Sun, the water cycle moves water throughout Earth.","Driven by Earth's internal heat, the water cycle adds new water as precipitation.","Driven by Earth's internal heat, the water cycle moves water throughout the planet.",The diagram below shows the water cycle. {img:images/States2017/ME/ME_8thGr_2014-2015_13.png} Which statement best describes the water cycle?,8,science,Dev
B,MEA_2014_8_4,Heat is added at each level.,Organisms at each level use some of the energy.,The higher levels do not need as much energy.,Organisms at lower levels destroy some of the energy,The pyramid below shows how energy changes forms and is transferred in a food chain. {img:images/States2017/ME/ME_8thGr_2014-2015_1.png} Which statement explains why less energy is available as it is transferred through each step of the food chain?,8,science,Dev
D,MEA_2016_8_9,The magnetic field in the battery causes an electrical current in the nail.,The magnetic field in the battery causes a magnetic field around the nail.,The electrical current supplied by the battery causes an electrical current in the nail.,The electrical current supplied by the battery causes a magnetic field around the nail.,The diagram below shows an electromagnet. {img:images/States2017/ME/ME_8thGr_2016_2.png} Which statement best describes this application of an electromagnet?,8,science,Dev
A,MSA_2012_8_13,a reaction with acid,the formation of rust,a reaction with oxygen,the formation of a base,"Unknown Liquid Demonstrations A science teacher played a short video of two demonstrations that used the same unknown clear liquid. Demonstration 1: The teacher in the video placed one drop of the unknown clear liquid onto a piece of pH paper. The pH paper turned red, indicating a pH of 2. {img:images/States2017/MD/MD_8thGr_2012_5.png} Demonstration 2: The teacher in the video placed a beaker containing a copper penny under an operating fume hood, which safely removes gases. With the fume hood running, the teacher placed one drop of the unknown clear liquid on the copper penny. A dark red gas and a blue liquid immediately formed. The chemical property of copper shown in the second demonstration is identified as",8,science,Dev
D,MSA_2012_8_14,Materials Used,Gases Released,Liquids Produced,Demonstration Results,"Unknown Liquid Demonstrations A science teacher played a short video of two demonstrations that used the same unknown clear liquid. Demonstration 1: The teacher in the video placed one drop of the unknown clear liquid onto a piece of pH paper. The pH paper turned red, indicating a pH of 2. {img:images/States2017/MD/MD_8thGr_2012_5.png} Demonstration 2: The teacher in the video placed a beaker containing a copper penny under an operating fume hood, which safely removes gases. With the fume hood running, the teacher placed one drop of the unknown clear liquid on the copper penny. A dark red gas and a blue liquid immediately formed. The students recorded data from both demonstrations in the table shown below. {img:images/States2017/MD/MD_8thGr_2012_6.png} The best title for the second column is",8,science,Dev
C,MSA_2012_8_15,a weak acid,a weak base,a strong acid,a strong base,"Unknown Liquid Demonstrations A science teacher played a short video of two demonstrations that used the same unknown clear liquid. Demonstration 1: The teacher in the video placed one drop of the unknown clear liquid onto a piece of pH paper. The pH paper turned red, indicating a pH of 2. {img:images/States2017/MD/MD_8thGr_2012_5.png} Demonstration 2: The teacher in the video placed a beaker containing a copper penny under an operating fume hood, which safely removes gases. With the fume hood running, the teacher placed one drop of the unknown clear liquid on the copper penny. A dark red gas and a blue liquid immediately formed. The unknown clear liquid used in the demonstrations is best classified as",8,science,Dev
D,MSA_2012_8_20,flooded,a volcano,part of a grassland,covered by an ocean,"There are many snow-capped mountains around the world. {img:images/States2017/MD/MD_8thGr_2012_10.png} The elevation of this mountain is nearly 3,048 meters. The summer climate in the area is generally cool and rainy. Summer temperatures reach 21°C. During many months of the year, the day and night temperatures vary significantly. The weather changes quickly. Approximately 300 centimeters of snow usually covers the ground from November until May. While studying mountain geology, a scientist uncovered many marine fossils. The presence of marine fossils on the mountain supports the conclusion that the mountain area was once",8,science,Dev
D,MSA_2012_8_21,runoff,water vapor,precipitation,groundwater,"There are many snow-capped mountains around the world. {img:images/States2017/MD/MD_8thGr_2012_10.png} The elevation of this mountain is nearly 3,048 meters. The summer climate in the area is generally cool and rainy. Summer temperatures reach 21°C. During many months of the year, the day and night temperatures vary significantly. The weather changes quickly. Approximately 300 centimeters of snow usually covers the ground from November until May. As the snow on a mountain melts, water travels down the mountain and seeps into the soil and the pores of rocks. Water contained in the soil and the pores of rocks is referred to as",8,science,Dev
B,MSA_2012_8_22,chemical weathering,physical weathering,wind deposition,wind erosion,"There are many snow-capped mountains around the world. {img:images/States2017/MD/MD_8thGr_2012_10.png} The elevation of this mountain is nearly 3,048 meters. The summer climate in the area is generally cool and rainy. Summer temperatures reach 21°C. During many months of the year, the day and night temperatures vary significantly. The weather changes quickly. Approximately 300 centimeters of snow usually covers the ground from November until May. Water is easily trapped in cracks and layers of mountain rock. Alternating high and low temperatures affect the water, which freezes and thaws many times. Which process causes changes to the rocks due to repeated freezing and thawing of trapped water?",8,science,Dev
D,MSA_2015_8_9,sedimentary rock changed to igneous rock,igneous rock changed to sedimentary rock,metamorphic rock changed to igneous rock,sedimentary rock changed to metamorphic rock,Part of the rock cycle is shown in the diagram below. {img:images/States2017/MD/MD_8thGr_2015_4.png} The change that occurred to the rock between Steps 1 and 2 in this part of the rock cycle was,8,science,Dev
B,TIMSS_2003_8_pg25,Point A,Point B,Point C,Point D,"A candle is placed on a ruled grid in front of a mirror, as shown. At what point will the reflection of the candle appear to be? {img:images/States2017/TIMSS/TIMSS_2003_8thGr_18.png}",8,science,Dev
D,TIMSS_2003_8_pg49,4 seconds,6 seconds,20 seconds,25 seconds,"The graph shows the progress made by a beetle moving along a straight line. {img:images/States2017/TIMSS/TIMSS_2003_8thGr_22.png} If the beetle keeps moving at the same speed, how long will it take to travel 10 cm?",8,science,Dev
B,TIMSS_2007_8_pg59,The Moon,The Sun,The tides,The wind,The diagram below shows Earth's water cycle. {img:images/States2017/TIMSS/TIMSS_8thGr_2007_31.png} What is the source of energy for the water cycle?,8,science,Dev
B,TIMSS_2007_8_pg64,20 minutes,30 minutes,40 minutes,70 minutes,Mary went for a cycle ride during which she had a puncture. She repaired it straight away and immediately continued her ride. The graph shows the progress she made during the ride. {img:images/States2017/TIMSS/TIMSS_8thGr_2007_32.png} About how long did it take Mary to mend the puncture?,8,science,Dev
C,TIMSS_2011_8_pg11,{img:images/States2017/TIMSS/TIMSS_8thGR_2011_1.png},{img:images/States2017/TIMSS/TIMSS_8thGR_2011_2.png},{img:images/States2017/TIMSS/TIMSS_8thGR_2011_3.png},{img:images/States2017/TIMSS/TIMSS_8thGR_2011_4.png},Bob did an experiment to investigate the effect of temperature on the solubility of sugar in water by measuring the amount of sugar that would dissolve in 1 liter of water at different temperatures. He then plotted his results. Which of the following is likely to be the graph showing Bob's results?,8,science,Dev
A,TIMSS_2011_8_pg35,Water expanding when it freezes.,Water boiling at 109°C.,Water having a density less than rock.,Water dissolving many substances.,Scientists think that the rocks in the picture were once a single rock. {img:images/States2017/TIMSS/TIMSS_8thGR_2011_12.png} Which property of water had the most effect of splitting the rock into two pieces?,8,science,Dev
A,WASL_2004_8_15,Type of habitat,Number of body parts,Type of reproduction,Role in community,Look at the two groups of organisms in the chart below: {img:images/States2017/WA/WA_8thGr_2004_9.png} The organisms are separated into the two groups based on what characteristic?,8,science,Dev
D,WASL_2007_8_1,Height of the radish plants,Length of the radish roots,Acidity of the water,Amount of the water,"Wild About Radishes Amanda wanted to find out how acidic water affects plant growth. Amanda decided to do an investigation using radish plants and several water samples with different acidities as measured by pH. Question: How does the acidity of water affect the height of radish plants? Hypothesis (prediction): Radish plants given water with a pH of 7 will grow taller than radish plants given water with a pH lower than 7 because plants will not grow well with water that is acidic. Materials: radish seeds small plant pots filled with soil water samples each with a different acidity: pH 4, pH 5, pH 6, and pH 7 graduated cylinders labels ruler {img:images/States2017/WA/WA_8thGr_2007_1.png} Procedure: 1. Label six pots pH 4, six pots pH 5, six pots pH 6, and six pots pH 7 as shown in the Investigation Setup diagram. 2. Plant one radish seed in each pot. 3. Every three days pour 5 milliliters of water with the labeled pH into each pot. 4. Measure and record the height of the tallest leaf of each radish plant after watering. 5. After two weeks, calculate and record the average plant height for each of the four pH groups. Data: The table below shows the calculated average plant heights for the six plants in each of the groups. {img:images/States2017/WA/WA_8thGr_2007_2.png} Which of the following variables was a controlled (kept the same) variable in this investigation?",8,science,Dev
B,WASL_2007_8_2,Change the type of seeds,Repeat the entire investigation,Change the amount of soil in each pot,Increase the amount of water added each week,"Wild About Radishes Amanda wanted to find out how acidic water affects plant growth. Amanda decided to do an investigation using radish plants and several water samples with different acidities as measured by pH. Question: How does the acidity of water affect the height of radish plants? Hypothesis (prediction): Radish plants given water with a pH of 7 will grow taller than radish plants given water with a pH lower than 7 because plants will not grow well with water that is acidic. Materials: radish seeds small plant pots filled with soil water samples each with a different acidity: pH 4, pH 5, pH 6, and pH 7 graduated cylinders labels ruler {img:images/States2017/WA/WA_8thGr_2007_1.png} Procedure: 1. Label six pots pH 4, six pots pH 5, six pots pH 6, and six pots pH 7 as shown in the Investigation Setup diagram. 2. Plant one radish seed in each pot. 3. Every three days pour 5 milliliters of water with the labeled pH into each pot. 4. Measure and record the height of the tallest leaf of each radish plant after watering. 5. After two weeks, calculate and record the average plant height for each of the four pH groups. Data: The table below shows the calculated average plant heights for the six plants in each of the groups. {img:images/States2017/WA/WA_8thGr_2007_2.png} How could Amanda make the investigation results more reliable?",8,science,Dev
B,WASL_2007_8_3,Reproductive,Circulatory,Immune,Nervous,"Wild About Radishes Amanda wanted to find out how acidic water affects plant growth. Amanda decided to do an investigation using radish plants and several water samples with different acidities as measured by pH. Question: How does the acidity of water affect the height of radish plants? Hypothesis (prediction): Radish plants given water with a pH of 7 will grow taller than radish plants given water with a pH lower than 7 because plants will not grow well with water that is acidic. Materials: radish seeds small plant pots filled with soil water samples each with a different acidity: pH 4, pH 5, pH 6, and pH 7 graduated cylinders labels ruler {img:images/States2017/WA/WA_8thGr_2007_1.png} Procedure: 1. Label six pots pH 4, six pots pH 5, six pots pH 6, and six pots pH 7 as shown in the Investigation Setup diagram. 2. Plant one radish seed in each pot. 3. Every three days pour 5 milliliters of water with the labeled pH into each pot. 4. Measure and record the height of the tallest leaf of each radish plant after watering. 5. After two weeks, calculate and record the average plant height for each of the four pH groups. Data: The table below shows the calculated average plant heights for the six plants in each of the groups. {img:images/States2017/WA/WA_8thGr_2007_2.png} Which of the following systems in a human body performs the same function as the stem in a radish plant?",8,science,Dev
D,WASL_2007_8_4,Air,Soil,Water,Light,"Wild About Radishes Amanda wanted to find out how acidic water affects plant growth. Amanda decided to do an investigation using radish plants and several water samples with different acidities as measured by pH. Question: How does the acidity of water affect the height of radish plants? Hypothesis (prediction): Radish plants given water with a pH of 7 will grow taller than radish plants given water with a pH lower than 7 because plants will not grow well with water that is acidic. Materials: radish seeds small plant pots filled with soil water samples each with a different acidity: pH 4, pH 5, pH 6, and pH 7 graduated cylinders labels ruler {img:images/States2017/WA/WA_8thGr_2007_1.png} Procedure: 1. Label six pots pH 4, six pots pH 5, six pots pH 6, and six pots pH 7 as shown in the Investigation Setup diagram. 2. Plant one radish seed in each pot. 3. Every three days pour 5 milliliters of water with the labeled pH into each pot. 4. Measure and record the height of the tallest leaf of each radish plant after watering. 5. After two weeks, calculate and record the average plant height for each of the four pH groups. Data: The table below shows the calculated average plant heights for the six plants in each of the groups. {img:images/States2017/WA/WA_8thGr_2007_2.png} What provides Amanda's plants with the energy needed for growth?",8,science,Dev
A,AIMS_2009_8_1,{img:images/StatesDMC-DA/8thGr/AZ/AIMS_8_2009_2.png},{img:images/StatesDMC-DA/8thGr/AZ/AIMS_8_2009_3.png},{img:images/StatesDMC-DA/8thGr/AZ/AIMS_8_2009_4.png},{img:images/StatesDMC-DA/8thGr/AZ/AIMS_8_2009_5.png},"A ball was attached to the end of a string and spun in a circle as shown in Figure 1 below. The ball moved in a counter-clockwise direction when seen from above as shown in Figure 2. {img:images/StatesDMC-DA/8thGr/AZ/AIMS_8_2009_1.png} After several spins, the string was released when the ball was at point R. Which diagram shows the direction that the ball would fly the instant the string was released?",8,,Dev
A,AKDE&ED_2008_8_35,streams,islands,valleys,lakes,Study the topographical maps below. {img:images/StatesDMC-DA/Alaska/8thGr/Alaska-2008-8-28.png} Which features are most likely shown in both topographical maps?,8,,Dev
A,AKDE&ED_2008_8_8,{img:images/StatesDMC-DA/Alaska/8thGr/Alaska-2008-8-8.png},{img:images/StatesDMC-DA/Alaska/8thGr/Alaska-2008-8-9.png},{img:images/StatesDMC-DA/Alaska/8thGr/Alaska-2008-8-10.png},{img:images/StatesDMC-DA/Alaska/8thGr/Alaska-2008-8-11.png},Which diagram correctly models the movement of carbon in a food web?,8,,Dev
B,AKDE&ED_2012_8_27,neutral charges.,opposite charges.,a positive charge.,a negative charge.,Two balloons are hanging from a ceiling. {img:images/StatesDMC-DA/Alaska/8thGr/Alaska-2012-8-18.png} The balloons are attracted to each other because the balloons have,8,,Dev
A,MCAS_2007_8_5177,assembling,cutting,finishing,shaping,The tools shown in the picture below are used in a factory. {img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2007_10.png} In which of the following manufacturing processes are these tools most likely used?,8,,Dev
B,MCAS_2007_8_5193,400 m,900 m,1200 m,1500 m,A map with contour lines is shown below. {img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2007_16.png} Which of the following is the best estimate of the difference in elevation between Black Bear Camp and Eagle Peak?,8,,Dev
A,MCAS_2008_8_5709,point W,point X,point Y,point Z,The diagram below shows how a change in temperature affects the physical state of a substance. Each of the labeled points represents the same substance at a different temperature. {img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2008_14.png} Which point represents the substance in the physical state with the particles moving the least?,8,,Dev
B,MCAS_2010_8_12002,{img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2010_2.png},{img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2010_3.png},{img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2010_4.png},{img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2010_5.png},The diagram below shows a side view of a landform with different elevations. {img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2010_1.png} Which of the following maps best represents this landform?,8,,Dev
D,MCAS_2012_8_23635,Internet modem,network router,printer,scanner,The pictures below show a drawing on paper and the same drawing in an electronic format on a computer screen. {img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2012_1.png} Which of the following devices was most likely used to convert the drawing on paper into an electronic format that could be viewed on a computer screen?,8,,Dev
C,MCAS_2013_8_29428,{img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2013_5.png},{img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2013_6.png},{img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2013_7.png},{img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2013_8.png},A ball will be rolled four times. In which of the following situations will some of the kinetic energy of the ball be converted into potential energy as the ball rolls?,8,,Dev
D,MCAS_8_2015_2,less rainfall in South America,longer summers in North America,increased sizes of horseshoe crab eggs,decreased populations of horseshoe crabs,A species of bird migrates from South America across the Atlantic Ocean to its summer breeding ground in northern Canada. The birds stop on the east coast of the United States to eat the eggs of horseshoe crabs. The migration route of these birds is shown on the map below. {img:images/StatesDMC-DA/MCAS/8thGr/MCAS_8_2015_2.png} Which of the following changes would most threaten this species of bird with extinction?,8,,Dev
A,MDSA_2007_8_62,boiling point,melting point,color of solution,solubility in water,"Use the information below to answer the question. During an investigation, students were given chemical data for several common household products, as shown in the data table below. Students were to determine if a substance was an acid or base by using litmus paper. Litmus paper turns red in an acid and turns blue in a base. {img:images/StatesDMC-DA/8thGr/MD/MSA_8_2007_25.png} Which physical property best classifies vinegar in a separate group of substances from oven cleaner?",8,,Dev
C,MDSA_2007_8_64,The molecules stop moving.,The molecules move more slowly.,The molecules move more quickly.,The molecules begin moving at a constant rate.,"Use the information below to answer the question. During an investigation, students were given chemical data for several common household products, as shown in the data table below. Students were to determine if a substance was an acid or base by using litmus paper. Litmus paper turns red in an acid and turns blue in a base. {img:images/StatesDMC-DA/8thGr/MD/MSA_8_2007_25.png} Which statement describes the motion of the molecules within the carpet cleaner when enough heat energy is added to boil the carpet cleaner?",8,,Dev
D,MDSA_2008_8_43,changing hiking speed,moving to a high altitude,changing hiking speed and direction,moving close to overhead power lines,Hikers often use a compass and a map to determine their location. The needle on a compass moves and aligns with the magnetic field of Earth because the needle is magnetized. {img:images/StatesDMC-DA/8thGr/MD/MSA_8_2008_17.png} Which action most likely affects the accuracy of a compass?,8,,Dev
C,MDSA_2009_8_16,sugars to oxygen and water,oxygen and water to sugars,carbon dioxide and water to sugars,sugars to water and carbon dioxide,"Use the information below to answer the question. In a lab study, eight bean plants are grown from seeds in individual containers. After a few leaves are visible on each plant, the plants are separated into two groups. One group is placed in a room that gets sunlight, and the other group is placed in a dark room. All of the plants receive the same amount of water daily. After two weeks, the plants are observed. {img:images/StatesDMC-DA/8thGr/MD/MSA_8_2009_5.png} Plants use energy from the sun to convert",8,,Dev
B,MDSA_2009_8_17,the plants were the same color,plant type was not a tested variable,each plant received the same amount of sunlight,a different amount of water was not used for each plant,"Use the information below to answer the question. In a lab study, eight bean plants are grown from seeds in individual containers. After a few leaves are visible on each plant, the plants are separated into two groups. One group is placed in a room that gets sunlight, and the other group is placed in a dark room. All of the plants receive the same amount of water daily. After two weeks, the plants are observed. {img:images/StatesDMC-DA/8thGr/MD/MSA_8_2009_5.png} All the plants in this investigation were bean plants because",8,,Dev
B,MDSA_2009_8_18,carbon dioxide,energy,oxygen,water,"Use the information below to answer the question. In a lab study, eight bean plants are grown from seeds in individual containers. After a few leaves are visible on each plant, the plants are separated into two groups. One group is placed in a room that gets sunlight, and the other group is placed in a dark room. All of the plants receive the same amount of water daily. After two weeks, the plants are observed. {img:images/StatesDMC-DA/8thGr/MD/MSA_8_2009_5.png} Some volcanic eruptions release so much ash into the air that the amount of sunlight reaching the surface of Earth is reduced. Which requirement for plant growth would be greatly reduced after such an eruption?",8,,Dev
A,MDSA_2011_8_19,are reasonable and testable,compare independent variables,are the only explanations possible,link temperature with water quality,Students observed that fish in an aquarium opened and closed their gill slits faster on Thursday than on the previous Monday. Some students hypothesized that warmer water caused the change in gill slit movement. Other students hypothesized that dirtier water caused the change in gill slit movement. {img:images/StatesDMC-DA/8thGr/MD/MSA_8_2011_6.png} Both hypotheses are valuable because they,8,,Dev
B,MDSA_2013_8_1,1:2:3,1:3:6,1:6:12,1:9:18,Gravity pulled three toy cars of different masses down an inclined ramp. The toy cars hit a bumper at the bottom of the ramp. {img:images/StatesDMC-DA/8thGr/MD/MSA_8_2013_1.png} What is the ratio of the masses of the toy cars?,8,,Dev
